Company,Location ,Title,Name ,Focus,Experience,,,,,,,,,,,,
,Hong Kong,Principal,Dayea Yeon,Korea,,,,,,,,,,,,,
,Hong Kong,Principal,Elaine Gu,,"Ex SAC NY, ex ML, MBA Wharton 2011",,,,,,,,,,,,
,Singapore,Principal,Janice Leow,,Joined in 2011. Ex BainCo.,,,,,,,,,,,,
,Singapore,Principal,Joji Thomas,RE,Left BPEA in 2019 to found Azara Advisors 1. Ex Pramerica. Ex ANZ. Ex EY.,,,,,,,,,,,,
,Shanghai,Principal,Joseph Li,,"2009 MBA hire, ex Consulting, promoted to VP in 2012",,,,,,,,,,,,
,Singapore,Principal,Raymond Rudianto,Indonesia,Joined in 2014. Ex Rothschild. Ex JPM. Ex MS.,,,,,,,,,,,,
,Hong Kong,Principal,Rebecca Shuting You,,"Joined in 2012 from Wharton, ex JPM",,,,,,,,,,,,
,Beijing,Principal,Stone Shi,,Joined in 2011. Ex DB PE/SSG/left for Hillhouse,,,,,,,,,,,,
,USA,Principal,Nino Gorla,,Moved to Baring US. joined in 2011. Ex Mars China,,,,,,,,,,,,
,Shanghai,Principal,Edward Yuan,,"To join AGIC as MD. Not interested in relocating, Gordon loves him",,,,,,,,,,,,
,Hong Kong,Vice President,Frank Feng,Cross border team,"Joined in 19, ex HIG, ex Advent, ex Lazard",,,,,,,,,,,,
,Singapore,Vice President,Hong Yong Leong,,Joiend in 2007. Ex Titan. Ex Deloitte.,,,,,,,,,,,,
,Beijing,Vice President,Jeff Zhao,,Rejoined in 01/18. Ex CICC,,,,,,,,,,,,
,Shanghai,Vice President,Lily Chen,,Joined in 08/17. Ex Apax. Ex MS ECM,,,,,,,,,,,,
,Shanghai,Vice President,Matt He,,Joined FountainCap in 2019 Research,,,,,,,,,,,,
,Hong Kong,Vice President,Shengyang Shi,,,,,,,,,,,,,,
,Hong Kong,Senior Associate,Alan Wu,RE,Joined in 2008.,,,,,,,,,,,,
,Shanghai,Senior Associate,Ethan Zhai,,Joined in 04/18. Ex DB. Will go for MBA,,,,,,,,,,,,
,Hong Kong,Senior Associate,Kwang Sung Na,Korea,Joined in 06/16. Ex VIG. ,,,,,,,,,,,,
,Hong Kong,Senior Associate,Ryan An,Korea,,,,,,,,,,,,,
,Beijing,Senior Associate,Victoria Yu,,"Joined in 20, ex Alibaba",,,,,,,,,,,,
,Hong Kong,Senior Associate,Tae-il Ha,Korea,Joined Pura Vida Investments in 2018,,,,,,,,,,,,
,Hong Kong,Associate IR,Cissy Wang,IR,Joined Zebra Global Capital in 2020,,,,,,,,,,,,
,Hong Kong,Associate   ,Danny Chung,,,,,,,,,,,,,,
,Beijing,Associate   ,Jiabo Chen,,"Joined in 21, ex CS",,,,,,,,,,,,
,Hong Kong,Associate   ,Kenneth Wang,,Joined in 08/17. Ex Lazard SF. Left for KKR,,,,,,,,,,,,
,Shanghai,Associate   ,Lake Lu,,"Joined in 21, ex Citi",,,,,,,,,,,,
,Shanghai,Associate   ,Sijiao Ma,,"Joined in 21, ex DB",,,,,,,,,,,,
,Hong Kong,Associate,Albert Liu,,"Joined in 19, ex JPM, ex Silverlake",,,,,,,,,,,,
,Singapore,Associate,Derek Ng,,Joined OMERS PE in 19,,,,,,,,,,,,
,Hong Kong,Associate,Eddie Chen,,Joined in 09/17. Ex GS. Left for Vision fund,,,,,,,,,,,,
,Beijing,Associate,He Su,,"Joined in 9/18, ex GSGH, ex GS NY. Didn't join in the end.",,,,,,,,,,,,
,Shanghai,Associate,Kelvin Lee,Soso,"Joined in 20, ex MS",,,,,,,,,,,,
,Beijing,Associate,Lynn Ye,,Joined in 03/18. Ex GS NY. Resigned and joined L Catterton,,,,,,,,,,,,
,Hong Kong,Associate,Michael Lee,Korea,Joined in 04/18. Ex Barc,,,,,,,,,,,,
,Shanghai,Associate,Paxton Zhou,,Joined in 02/16. Ex Citi,,,,,,,,,,,,
,Shanghai,Associate,Rui Xue,,"Joined in 21, ex MS HC",,,,,,,,,,,,
,Beijing,Associate,Shaoang Yu,,"Joined in 19, ex CICC IBD",,,,,,,,,,,,
,Shanghai,Associate,"Sissi Wang
",,"Joined in 19, ex Citi",,,,,,,,,,,,
,Beijing,Associate,Will Jia,Good,"Joined in 20, ex HSBC",,,,,,,,,,,,
,Beijing,Associate,Zekun Li,,"Joined in 19, ex MSPE. Left to join Boyu FIG",,,,,,,,,,,,
,Hong Kong,Associate,Zhong Yi Lv,,"Ex HSBC Lev Fin, joined 15.",,,,,,,,,,,,
,Beijing,Associate,Bruce Xu,,Joined DST Investment Mgmt in 2018Ex GSGH,,,,,,,,,,,,
,Beijing,Associate,Felix Feng,,Joined PAG in 2020 Ex GSGH,,,,,,,,,,,,
,Shanghai ,Analyst,Jiaying Ashley Zhu,,,,,,,,,,,,,,
,Beijing,Analyst,Jacob Z.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Singapore,,,,,,,,,,,,,,,,
,Singapore,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Lake Bleu,Hong Kong,Founder and CIO,Bin Li,,,,,,,,,,,,,,
,Hong Kong,Partner and COO,Michael Sun,,,,,,,,,,,,,,
,Shanghai ,Managing Director,Lucia Qian,pe,,,,,,,,,,,,,
,Shanghai ,Director,Zhidong Ding,,,,,,,,,,,,,,
,Shanghai ,Director,Qian Cai,pe,,,,,,,,,,,,,
,Hong Kong,Vice President,Amanda Li,,,,,,,,,,,,,,
,Shanghai ,Vice President,Ran Huo,,,,,,,,,,,,,,
,Shanghai ,Senior Associate,Yun Gao,pe,,,,,,,,,,,,,
,Shanghai ,Senior Associate,Lei Hong,pe,,,,,,,,,,,,,
,Hong Kong,Associate ,Annie Jin,hf,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Boyu Capital,Hong Kong,Partner,Mary Ma,,"ex TPG, ex Legend",,,,,,,,,,,,
,Beijing,Partner,Alvin Jiang,,ex GS PIA,,,,,,,,,,,,
,Hong Kong,Partner,Sean Tong,TMT,"ex Providence, ex GA",,,,,,,,,,,,
,Hong Kong,Partner,Louis Cheung,FIG,"ex Ping An, ex Temasek",,,,,,,,,,,,
,Hong Kong,Partner,Alex Wong,FIG,"ex GS PIA, ex McK",,,,,,,,,,,,
,Beijing,Executive Director,Chen Chen,FIG,,,,,,,,,,,,,
,Beijing,Executive Director,Victor Huang,FIG,,,,,,,,,,,,,
,Beijing,Vice President,Jim Dou,FIG,,,,,,,,,,,,,
,Hong Kong,Senior Associate ,Jeffrey Hu,FIG,ex JPM,,,,,,,,,,,,
,Shanghai,Associate,Zekun Li,FIG,Ex Baring,,,,,,,,,,,,
,Beijing,Analyst,Joanne Huang,FIG,Ex BAML,,,,,,,,,,,,
,Hong Kong,Partner,Joey Chen,TMT,"ex GA, ex MS",,,,,,,,,,,,
,Beijing,Executive Director,Song Hu,TMT,ex DB,,,,,,,,,,,,
,Shanghai,Vice President,Yixin Wang,TMT,,,,,,,,,,,,,
,Shanghai,Vice President,Yiyi Yan,TMT,"Joined in 17, ex Citi",,,,,,,,,,,,
,Beijing,Vice President,Ye Zhou,TMT,Promoted to VP in 2022,,,,,,,,,,,,
,Beijing,Vice President,Geng Chen,TMT,ex research analyst,,,,,,,,,,,,
,Beijing,Associate,Dong Li,TMT,"Joined in 2020, ex GS DCM/Lev Fin",,,,,,,,,,,,
,Beijing,Associate,Derek Hu,TMT,,,,,,,,,,,,,
,Beijing,Associate,Dantong Chu,TMT,Joined in 04/18. Ex DB,,,,,,,,,,,,
,Beijing,Analyst,Zheng Z,TMT,,,,,,,,,,,,,
,Beijing,Analyst,Yang Qi,TMT,Joined in 2021. Ex JD.com,,,,,,,,,,,,
,Beijing,Analyst,Tina Liu,TMT,Joined in 02/09. Ex MSPE,,,,,,,,,,,,
,Hong Kong,Partner,Yanling Cao,Healthcare,"ex GA, ex GS",,,,,,,,,,,,
,Hong Kong,Executive Director,Yilun Liu,Healthcare/Biotech,"Ex Baring, ex JPM",,,,,,,,,,,,
,Beijing,Vice President,Qiu Xiang,Healthcare,Fresh grad joined in 2011. 2019 promoted to VP,,,,,,,,,,,,
,Beijing,Vice President,Gavin Zhang,Healthcare,Joined in 2018. ex Affnity. Ex MS,,,,,,,,,,,,
,Beijing,Vice President,Henry Yang,Healthcare,"Joined in 19, ex Lazard",,,,,,,,,,,,
,Shanghai,Senior Associate,Charles Xue,Healthcare,Ex EQT,,,,,,,,,,,,
,Shanghai,Associate,Zhan Yuan,Healthcare,Ex Bain & Company,,,,,,,,,,,,
,Shanghai,Analyst,Calvin Sun,Healthcare,Ex CDH,,,,,,,,,,,,
,Shanghai,Analyst,Anson Xu,Healthcare,,,,,,,,,,,,,
,Shanghai,Analyst,Fan Zou,Healthcare,,,,,,,,,,,,,
,Beijing,Partner,Qi Zhou,Consumer,"ex GS PIA, ex GS research",,,,,,,,,,,,
,Beijing,Managing Director,Siye Wang,Consumer,"ex Citic PE, ex CICC",,,,,,,,,,,,
,Beijing,Executive Director,Huan Zhen,Consumer,Moved to BJ in 15. Promoted to VP in 2019,,,,,,,,,,,,
,Shanghai,Vice President,Danny Lin,Consumer,Ex EQT. Promoted to VP in 2020,,,,,,,,,,,,
,Beijing,Senior Associate,Derek Wei,Consumer,"Joined in 18, ex CS, ex JPM",,,,,,,,,,,,
,Beijing,Senior Associate,Chengying Gao,Consumer,Ex CDH,,,,,,,,,,,,
,Beijing,Associate,Stephen Liu,Consumer,,,,,,,,,,,,,
,Beijing,Analyst,Eric Qi,Consumer,,,,,,,,,,,,,
,Beijing,Analyst,Kehang Li,Consumer,,,,,,,,,,,,,
,Beijing,Analyst,Coco Deng,Consumer,,,,,,,,,,,,,
,Beijing,Executive Director,Tiger Chen,Financing,ex GS research,,,,,,,,,,,,
,Beijing,Vice President,Xiaobo Zhou,Portfolio Management/Finance,,,,,,,,,,,,,
,Shanghai,Managing Director/Partner,Lan Qian,IR,ex Sagamore,,,,,,,,,,,,
,Beijing,Senior Associate,Jane Zhang,,ba,,,,,,,,,,,,
,Beijing,Senior Associate,Ji Zha,Healthcare,Left Boyu 2018- founded start up,,,,,,,,,,,,
,Hong Kong,Senior Associate,Yang Liu,FIG/Consumer,"Left for Bx in Sep, 2016. ex MS",,,,,,,,,,,,
,Beijing,Senior Associate,Nina Chen,TMT,Left Boyu for Didi in 2017. ex BAML,,,,,,,,,,,,
,Hong Kong,Senior Associate,Lucinda Zhang,Healthcare,ex UBS,,,,,,,,,,,,
,Beijing,Associate,Yiling Xie,Operation,ex BNP; has family background,,,,,,,,,,,,
,Hong Kong,Managing Director,Ruofan Fang,HF,"ex GS, Mck",,,,,,,,,,,,
,Hong Kong,Associate,Tianyu Xing,HF,Joined Point72 in 2020,,,,,,,,,,,,
,Hong Kong,Associate,Timothy Wang,HF; China TMT/ Consumer,ex GS research,,,,,,,,,,,,
,Hong Kong,Associate,Yunzhang (George) Chen,Healthcare,"Joined in June 2016, Ex Fidelity",,,,,,,,,,,,
,Shanghai,Analyst,Jiamian Li,Long/short equity (Healthcare),,,,,,,,,,,,,
,Hong Kong,Senior Associate,Ethan Sun,TMT/Consumer,ex ms,,,,,,,,,,,,
,Shanghai,Managing Director,Jianjun Sun,RE,"Joined in 19, Ex Citi",,,,,,,,,,,,
,Shanghai,Executive Director,Ke Lin,RE,Joined in 2011. Ex Hopu and HSBC.,,,,,,,,,,,,
,Hong Kong,Executive Director,Jack Jia,RE,Rejoined in 01/18. Ex CICC,,,,,,,,,,,,
,Shanghai,Vice President,Chaojie Feng,RE,Joined in 03/18. Ex GS NY,,,,,,,,,,,,
,Shanghai,Vice President,Albert Zhang,RE,,,,,,,,,,,,,
,Shanghai,Associate,Jianfei Wu,RE,,,,,,,,,,,,,
,Beijing,Senior Associate,Jane Zhang,,"Joined in 20, ex 16-19 Blackstone. ex 15-16 DB",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Brookfield ,Shanghai,Asia Head,Stuart Mercier,Real Estate,,,,,,,,,,,,,
,Hong Kong,Head of APAC Project Management,Clara Lee,,,,,,,,,,,,,,
,Hong Kong ,Managing Director,Alex Yang,,ex Blackstone,,,,,,,,,,,,
,Shanghai,Vice President,Alex Zhang,,,,,,,,,,,,,,
,Hong Kong ,Vice President,Wonbin Suh,,,,,,,,,,,,,,
,Shanghai,Vice President,Yi Tan,,,,,,,,,,,,,,
,Shanghai,Vice President,Jason Zhang,,,,,,,,,,,,,,
,Shanghai,Senior Associate,Yu Cao,PE,Ex Barclays,,,,,,,,,,,,
,Shanghai,Senior Associate,Ryan Liu,,,,,,,,,,,,,,
,Shanghai,Associate,Yewei Xu,,,,,,,,,,,,,,
,Shanghai,Analyst,Ran Bi,PE,Ex UBS,,,,,,,,,,,,
,Shanghai,Analyst,Bowen Zhan,PE,Ex BAML,,,,,,,,,,,,
,Shanghai,Analyst,Zhuoying Li,,,,,,,,,,,,,,
,Shanghai,Analyst,Yi Qin,Renewable,,,,,,,,,,,,,
,Shanghai,Analyst,Gege Wang,Real Estate,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Carlyle,Hong Kong,Partner,Gregory M. Zeluck,Buyout,Joined in 1998. Ex ML. Ex LB. Princeton grad,,,,,,,,,,,,
,Hong Kong,Partner,Xiangdong Yang,Buyout,Joined in 2001. Ex GS. Harvard grad,,,,,,,,,,,,
,Hong Kong,Partner,Patrick T. Siewert,Buyout,Joined in 2007. Ex Coca-Cola,,,,,,,,,,,,
,Hong Kong,Partner,Janine Feng,Buyout,Joined in 1998. Ex CS. Ex McK. Harvard grad,,,,,,,,,,,,
,Hong Kong,Partner,Alwin Poon,Buyout,Ex Olympus. Ex BainCo. UCB and Cornell grad,,,,,,,,,,,,
,Shanghai,Partner,Ling Yang,Buyout,Promoted to Partner in 2019. Ex KKR. Ex Tiger. Ex GS. Harvard and Smith grad,,,,,,,,,,,,
,Shanghai,Partner,Wanlin Liu,Buyout/Growth,Joined in 2017. Ex GS PIA. Ex CS. Promoted to Partner in 2020,,,,,,,,,,,,
,Beijing,Partner,Nina Gong,Buyout,Ex Apax. Ex CICC. Harvard and PKU grad. Promoted to Partner in 2020,,,,,,,,,,,,
,Shanghai,Partner,Dennis Wang,Buyout,Promoted to MD in 2019. Ex MBK. Ex BainCo,,,,,,,,,,,,
,Shanghai,Managing Director,Herman Chang,Buyout,"Ex Delphi. Northwestern grad, TWnese",,,,,,,,,,,,
,Beijing,Managing Director,Le Guan,Buyout,Promoted to MD in 2019. Ex Affinity. Ex MS. PKU grad. Left for OceanLink,,,,,,,,,,,,
,Beijing,Managing Director,Justin Zhou,Buyout/Growth,Rejoined Carlyle in '08/17.  Left in '03/16. Ex MS. PKU grad,,,,,,,,,,,,
,Shanghai,Director,Aaron Zhang,Buyout - HC(Medtech)/retail (supermarket),Joined in 2012. Ex GS. Booth and Fudan grad,,,,,,,,,,,,
,Beijing,Director,Yi Yu,Buyout,Ex MS. PKU grad,,,,,,,,,,,,
,Beijing,Director,Judy Zhu,Buyout IR,"Joined in 2017. Ex SCPE. Ex GS. Standard, Tsinghua, and PKU grad",,,,,,,,,,,,
,Beijing,Director,Tian Ai,Buyout,Promoted to Director in 2019. Ex TPG. Ex GS,,,,,,,,,,,,
,Beijing,Director,Henry Hu,Buyout - consumer/internet,Ex UBS. Northwestern grad,,,,,,,,,,,,
,Beijing,Director,Helen Lian,Buyout - Healthcare (Biotech),Ex. MS. Standard grad,,,,,,,,,,,,
,Hong Kong,Director,Frank Lin,Buyout - HK/Taiwan,Ex McK TW. Northwestern grad,,,,,,,,,,,,
,Shanghai,Vice President,Yuchen Zhang,Buyout ,Ex Silverlake. Ex NS. CMC grad,,,,,,,,,,,,
,Beijing,Vice President,Allen Feng,Buyout,Ex MSPE. Ex Temasek. PKU grad,,,,,,,,,,,,
,Beijing,Vice President,Allie Ren,Buyout,Ex MS. Ex Rothschild. Columbia and PKU grad,,,,,,,,,,,,
,Beijing,Vice President,Michael Wu,Buyout,Ex MS. Oxford and BU grad,,,,,,,,,,,,
,Shanghai,Senior Associate,Yixiang Feng,Buyout,Ex MS. PKU grad,,,,,,,,,,,,
,Beijing,Senior Associate,Clark Sha,Buyout,Ex Citi,,,,,,,,,,,,
,Beijing,Associate,Ricky Mao,Buyout,Ex Citi. Fudan and MIT grad,,,,,,,,,,,,
,Shanghai,Senior Associate,Jason Shen,Buyout,,,,,,,,,,,,,
,Shanghai,Senior Associate,Matthew Chen,Buyout,"Joined in 17, ex MS",,,,,,,,,,,,
,Beijing,Senior Associate,Max Chen,Buyout,"Joined in 17, ex Citi",,,,,,,,,,,,
,Beijing,Senior Associate,Irene Liu,Buyout,"Joined in 18, ex Citi",,,,,,,,,,,,
,Shanghai,Analyst,Franklin Lin,Buyout,"Joined in 19, ex Nomura",,,,,,,,,,,,
,Beijing,Associate,Shuhao Bai,Buyout,"Joined in 18, ex Citi",,,,,,,,,,,,
,Beijing,Analyst,Yipeng Xie,Buyout,"Joined in 21, ex Warburg Pincus",,,,,,,,,,,,
,Shanghai,Analyst,Aaron Pang,Buyout,"Joined in 19, ex Citi",,,,,,,,,,,,
,Shanghai,Analyst,Wei Yang,Buyout,"Joined in 21, es CIti",,,,,,,,,,,,
,Shanghai,Analyst,Zhuo Zeng,Buyout,"Joined in 21, es BAML",,,,,,,,,,,,
,Beijing,Analyst,Jiawang Huang,Buyout,"Joined in 21, es MS",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Shanghai,Managing Director,Nicholas Shao,Buyout,Fund partner; American. Set up Ningfeng Capital since 2015,,,,,,,,,,,,
,Hong Kong,Managing Director,Sean Lu,Buyout,"Ex Nomura, left and joined c-bridge",,,,,,,,,,,,
,Beijing,Director,Julia Yang,Buyout,Promoted to D in 2011. Joined CICC Capital in 2017,,,,,,,,,,,,
,Beijing,Director,Sam Wu,Buyout,Founder Cloudstone Capital in 2016,,,,,,,,,,,,
,Hong Kong,Director,Lorin Chen,Buyout,,,,,,,,,,,,,
,Shanghai,Senior Associate,Alex Ba,Buyout,,,,,,,,,,,,,
,Beijing,Associate,Vion Sun,Buyout,,,,,,,,,,,,,
,Hong Kong,Associate,Jason Shi,Buyout,"Ex Baring, ex UBS",,,,,,,,,,,,
,Beijing,Associate,Leo Ding,Buyout,Joined BOCGI in HK,,,,,,,,,,,,
,Shanghai,Analyst,James Chao Shan,Buyout,,,,,,,,,,,,,
,Shanghai,Research Analyst,Charles Huang,Buyout,"Ex UBS intern, master from Jiaotong, BA from PKU",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Hong Kong,Managing Director,Jason Lee,Real Estate,,,,,,,,,,,,,
,Shanghai,Managing Director,Han Chen,Real Estate,,,,,,,,,,,,,
,Hong Kong,Director,Catherine Chang,Real Estate,,,,,,,,,,,,,
,Shanghai,Director,Shane Xu,Real Estate,"Joined NOVA Property Investment in 2016. Ex RBS
",,,,,,,,,,,,
,Shanghai,Director,Shirlene Song ,Real Estate,Joined Ascent RE Investors. Carlyle spin off,,,,,,,,,,,,
,Shanghai,Vice President,Chris Z Luan,Real Estate,Joined Ascent RE Investors. Carlyle spin off,,,,,,,,,,,,
,Shanghai,Vice President,Jason Hsu,Real Estate,Joined Ascent RE Investors. Carlyle spin off,,,,,,,,,,,,
,Shanghai,Vice President,Gavin Lu,Real Estate,Joined UBAN Capital in 2018,,,,,,,,,,,,
,Shanghai,Vice President,Charles Wu,Real Estate,Asset Management,,,,,,,,,,,,
,Hong Kong,Vice President,Jing Dong Lai,Real Estate,Singaporean,,,,,,,,,,,,
,Hong Kong,Associate,Sylvia Chen,Real Estate,Joined Ascraeus Capital in 2014,,,,,,,,,,,,
,Shanghai,Senior Associate,Ellen Miao,Real Estate,Joined Ascent RE Investors. Carlyle spin off,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
C Bridge,Shanghai,CEO,Wei Fu,,,,,,,,,,,,,,
,Shanghai,Managing Director,Mengjiao Jiang,,"Ex UBS, BDA, ARC China, Far East Horizon",,,,,,,,,,,,
,Beijing,Managing Director,Wei Ding,,,,,,,,,,,,,,
,New York,Managing Director,Michael Keyoung,,"Ex Burrill, Catalyst Biosciences, Tasgen, Genexine, Portola",,,,,,,,,,,,
,Boston,Managing Director,Wuxiong Cao,,"Ex Johnson&Johnson, New Leaf Venture, Aureon Laboratories, Sanofi-aevntis, Simcere Pharmaceutical Group",,,,,,,,,,,,
,New York,Managing Director,Ian Woo,CFO of Everest now,"Ex D.E.Shaw, Bear Stearns, FBR, Lazard",,,,,,,,,,,,
,San Diego,Managing Director,Jason Brown,,"Ex Johnson&Johnson, Forward Ventures, Thomas,McNerney&Partners",,,,,,,,,,,,
,New York,Managing Director,Tong Zhang,,,,,,,,,,,,,,
,Shanghai,Managing Director,Yaogan Pan,,,,,,,,,,,,,,
,Shanghai,Managing Director,Xiaofan Zhang,,Ex Capital International,,,,,,,,,,,,
,Shanghai,Managing Director,Chonggang Xu,,,,,,,,,,,,,,
,Shanghai,Executive Director,Jiaqiang Tian,Phar,,,,,,,,,,,,,
,Shanghai,商业运营官,Yin Cheng,,,,,,,,,,,,,,
,Shanghai,Managing Director,Vincent Wang,,Ex DB,,,,,,,,,,,,
,Shanghai,Senior Vice President,Helen Zhu,,,,,,,,,,,,,,
,Hong Kong,Vice President,Stephen Chan,Phar,,,,,,,,,,,,,
,Shanghai,Vice President,Waston Cheng,Phar,,,,,,,,,,,,,
,Shanghai,Vice President,Hui Qu,Royalty,,,,,,,,,,,,,
,Shanghai,Vice President,Kevin Chen,Phar,"In industry before, HC master",,,,,,,,,,,,
,Shanghai,Vice President,Mars Lin,,,,,,,,,,,,,,
,Shanghai,Vice President,Jack Li ,,,,,,,,,,,,,,
,Shanghai,Vice President,Sean Ma,Director of Strategy at Everest,Ex Lazard,,,,,,,,,,,,
,Shanghai,Vice President,Hogan Wan,Phar,Ex JPM,,,,,,,,,,,,
,Shanghai,Assistant Vice President,Minica (Shan) Jiang,,"Ex IMS, Meritco, Novartis",,,,,,,,,,,,
,Shanghai,Director,Jun He,Medtech,"Ex GS, Eli Lilly",,,,,,,,,,,,
,Shanghai,Associate,Shuoying Zhou,Royalty,,,,,,,,,,,,,
,Shanghai,Associate,Olivia Xu,Phar,,,,,,,,,,,,,
,Shanghai,Associate,Paul Qi,Medtech,,,,,,,,,,,,,
,Shanghai,Associate,Luke Jiang,Medtech,,,,,,,,,,,,,
,Shanghai,Associate,An Lu,Phar,,,,,,,,,,,,,
,Shanghai,Analyst,Zihan Liang,Medtech,Ex IMS,,,,,,,,,,,,
,Shanghai,Analyst,Eric Zhou,Medtech,https://www.linkedin.com/in/zhouqianeric/?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABrjzCEBOnEfJy7VnDtVUmoxupwo6RDekx8,,,,,,,,,,,,
,Shanghai,Analyst,Jerry Tang,Phar,,,,,,,,,,,,,
,Beijing,Analyst,Shilin Dong,,,,,,,,,,,,,,
,Shanghai,Analyst,Shidong X,Phar,"Joined in 20, ex LEK, PhD from Oxford",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Capital International ,Beijing,"Partner, Head of China",Hui Ronald Liu,"Joined 01/2015, temasek",,,,,,,,,,,,,
,Beijing/HK,Partner,Nick Chen,"Joined 2005, ex-JPM",,,,,,,,,,,,,
,Beijing,Principal ,Jingjing Li ,Joined in 2017.  Ex Citic PE. ,,,,,,,,,,,,,
,Beijing,Principal ,Jason Boyang Yu,,,,,,,,,,,,,,
,Beijing,Associate,Allen Luo,"Ex Ares , left for Centurium",,,,,,,,,,,,,
,Beijing,Investment Officer/ VP,Kaisi Chang,"Ex Actis, BJ 11-15,",,,,,,,,,,,,,
,Beijing,Associate,Hanqing Yu,"Joined August 15, ex-MSPE",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Centurium,Beijing,Founder,David Li Hui,,"Ex 神州优车, Ex WP",,,,,,,,,,,,
,Beijing,Partner,Joseph Chow,,"Ex Head of China at Moelis, ex GS",,,,,,,,,,,,
,Beijing,Partner,Lei Lin,,,,,,,,,,,,,,
,Shanghai,Partner,Michael Chen,,Ex WP,,,,,,,,,,,,
,,Ops Partner,Eric Wang,,,,,,,,,,,,,,
,Beijing,Partner,Shaoqiang (Gary) Liu,"Consumer, to B, SaaS",,,,,,,,,,,,,
,Beijing,Vice President,Jieqi Chen,"Consumer, to B, SaaS","Ex CDB FoF, HONY",,,,,,,,,,,,
,Beijing,Associate,Jon Li,"Consumer, to B, SaaS",,,,,,,,,,,,,
,Beijing,Partner,Zhixing Chen,Head of HC,"Ex WP, ex CITIC PE",,,,,,,,,,,,
,Beijing,Executive Director,Andy Li,HC/Education,"Joined a HC company in 21, FC. Ex WP, Ex China Everbright",,,,,,,,,,,,
,Beijing,Vice President,Allen Luo,"Healthcare/Services, consumable","Ex Capital International, ex Ares",,,,,,,,,,,,
,Shanghai,Vice President,Vicky Li,Healthcare,Ex Eight Roads,,,,,,,,,,,,
,Beijing,Associate,Moru Wang,Healthcare,"joined in 19, Ex Hillhouse",,,,,,,,,,,,
,Beijing,Analyst,Ma Chao,Healthcare,,,,,,,,,,,,,
,Beijing,Analyst,Brian (Shuai) Zhao,Healthcare,,,,,,,,,,,,,
,Shanghai,Executive Director,Xinquan Lin,,"Ex oceanlink, ex CDH",,,,,,,,,,,,
,Shanghai,Executive Director,Nick Tao,,"Ex Lunar Capital, ex WP",,,,,,,,,,,,
,Beijing,Executive Director,Charles Lin,Hard tech,,,,,,,,,,,,,
,Beijing,Executive Director,Shawn Liu,Consumer,"Ex CMC Holding, ex WP",,,,,,,,,,,,
,Beijing,Executive Director,Guiyi Chen,,A share lawyer,,,,,,,,,,,,
,Beijing,Vice President,Guang Han,Consumer,Ex Hony. Joined Source Code in Aug 2020. ,,,,,,,,,,,,
,Shanghai,Vice President,Yunze Chen,Consumer,"Ex CMC Holding, ex WP",,,,,,,,,,,,
,Beijing,Vice President,Pu Chen,,"Joined in 20, ex CDH. Left to join BA Capital",,,,,,,,,,,,
,Beijing,Vice President,Allen Zhu,Technology,"Joined in 20, ex Google 18-20, ex ATW Partners NY 17-18. ex Norkia Growth Partners 14-16. ex Moelis IB Analyst 12-14",,,,,,,,,,,,
,Beijing,Vice President,Xinting Wang,,ex CS,,,,,,,,,,,,
,Beijing,Associate,James Pu,,,,,,,,,,,,,,
,Beijing,Associate,Rachel Liu,,,,,,,,,,,,,,
,Beijing,Associate,Jingzhu Yu,Consumer,Ex CS,,,,,,,,,,,,
,Beijing,Associate,Lily Siying Ma,Healthcare/Biotech/Growth,,,,,,,,,,,,,
,Beijing,Associate,Zhi Li,,"Joined in 20, ex MS",,,,,,,,,,,,
,Shanghai,Associate,Chen Zhou,,"Joined in 20, ex BAML",,,,,,,,,,,,
,Beijing,Associate,Kenan Liu,,,,,,,,,,,,,,
,Beijing,Associate,Stella Wang,,,,,,,,,,,,,,
,Beijing,CFO,Andrew Chan,Finance,,,,,,,,,,,,,
,Beijing,,Kathy Xu,Finance,,,,,,,,,,,,,
,Beijing,Senior Director,Hui Zhao,,"Ex Iluvatar CoreX, ORI Capital, GS, Macquarie",,,,,,,,,,,,
,Beijing,Capital Raising and IR,Ye Tian,,Ex Eaton Partners,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CDH Buyout,,,,,,,,,,,,,,,,,
,Beijing/Hong Kong,Founder & Managing Partner,Xiaoling Hu,,Joined in 12.  From CDH IR team. ,,,,,,,,,,,,
,Hong Kong,Chairman,Shangzhi Wu,"High tech (5G), Consumer (F&B)",,,,,,,,,,,,,
,Hong Kong,CEO and Managing Director,Zhen Jiao,TMT,,,,,,,,,,,,,
,Shanghai,Managing Director ,Alex Minfeng Wu,HC,,,,,,,,,,,,,
